,g_number_of_nodes,g_number_of_arcs,g_min_cost,g_max_cost,g_sum_cost,g_mean_cost,g_std_cost,g_min_cap,g_max_cap,g_sum_cap,g_mean_cap,g_std_cap,g_shortest_path,g_supply,g_number_of_supply_nodes,g_arcs_source_sink,mst_sum_cost,mst_mean_cost,mst_std_cost,mst_sum_cap,mst_mean_cap,mst_std_cap,Network Simplex,CS2,SSP,CAS,CC Simple,CC Minimum Mean Cycle,CC Cancel and Tighten,Minimum
34916854,102,185,1,100,9292,0.5022702702702703,0.2874119981554541,31,9978,978216,0.5299312541645674,0.2989360563872072,942,1000.0,1,21,2997,0.3756109788194009,0.2312902936447896,559965,0.5556432071349047,0.3009349278977559,36,259,28,41,1289,1321,1060,SSP
34918481,402,800,1,10,4480,0.5599999999999999,0.291547594742265,9,9955,4007239,0.5031691361125062,0.2886934984520184,83,20000.0,1,21,1291,0.402431421446384,0.2122980446467239,2013744,0.5053134922805684,0.2873275212125006,223,907,673,1620,34254,81136,7543,Network Simplex
34922746,202,390,1,10,2059,0.5279487179487179,0.2951112739913842,109,9996,2045090,0.5245918880372662,0.2771119949129476,80,1414.0,1,21,599,0.3725124378109453,0.2155925101721202,1059735,0.5274950908289966,0.270081873112224,72,562,75,118,2005,4613,1861,Network Simplex
34922768,402,800,1,2,1204,0.7525,0.2499874996874843,14,9999,4217505,0.5272408490849085,0.2811608108561408,26,20000.0,1,21,443,0.5523690773067331,0.1531078652303923,2088946,0.5209862632148502,0.2785960112571795,189,679,1019,780,28500,55128,6296,Network Simplex
34924317,1002,1910,1,10,10695,0.5599476439790576,0.2905005562388434,1,999,943882,0.494673731322946,0.2896502115022999,469,316.0,1,101,3392,0.3765123765123765,0.2037448083752132,492723,0.4927234927234927,0.2846960880055151,708,4187,1794,2253,164207,215839,35989,Network Simplex
34924864,1002,2090,1,100,106068,0.5075023923444976,0.2885865260344473,1,10,11434,0.5470813397129187,0.2928552691942828,295,316.0,1,11,27249,0.3279732315876894,0.212730627021334,5472,0.5466533466533466,0.2893916743275774,524,3329,9819,6132,61025,219853,19766,Network Simplex
34926330,52,95,89,9948,513267,0.5431051996698623,0.3139012936643889,30,9889,408954,0.435309833893055,0.3023321144210233,42542,70.0,1,11,157561,0.3375321066916879,0.2307988905369096,216773,0.4298160562637432,0.3098667462349299,16,110,56,59,868,916,594,Network Simplex
34931437,52,95,3,990,46234,0.4915895800106326,0.3065719823831773,10,996,49114,0.5190657366307335,0.2808938380485657,3289,70.0,1,11,13470,0.3578829905946118,0.2543821493126764,24300,0.4912067919951486,0.286367879600594,20,72,9,12,250,410,366,SSP
34937292,52,95,95,9971,489796,0.5170742521734082,0.3092678289739783,104,9930,504120,0.5343933852758784,0.2918648740963637,37324,7071.0,1,11,146408,0.3704665244598291,0.2615434276400464,302054,0.596437809766404,0.2785518492138488,26,97,22,32,330,775,283,SSP
34937877,27,50,1,10,254,0.508,0.2381931988953505,327,9912,300005,0.6053369652945925,0.2571088624556545,25,500.0,1,6,88,0.5641025641025641,0.2658518122221502,154610,0.6070374093036405,0.2672303416697882,9,27,7,7,102,109,159,SSP
34938758,502,1040,1,10,5707,0.54875,0.2862529391854478,1,997,503750,0.4858324974924774,0.2916443197558782,30,223.0,1,11,1584,0.3512974051896207,0.1888898145918615,232835,0.466138935769384,0.2893383293887114,131,493,118,169,8782,29735,3490,SSP
34945096,252,545,18,9999,2745653,0.5038399252769313,0.2875536961637824,2,9975,2785162,0.5123196983283897,0.2976115451558999,17633,158.0,1,6,640816,0.3373928628027865,0.2219884852537571,1279503,0.5115525854434745,0.3008451257268087,44,398,66,85,751,3235,852,Network Simplex
34956331,252,455,1,2,683,0.7505494505494505,0.2499993962074582,41,9979,2264452,0.4987290893293499,0.2934014240209585,72,158.0,1,51,285,0.5677290836653387,0.1711061455895809,1237467,0.4942008230110832,0.2970327668646777,114,237,64,51,1083,1515,1561,CAS
34957565,5002,10050,1,2,15010,0.7467661691542289,0.2499790838011471,1,10000,50396989,0.5014625771144279,0.2876557277354826,66,707.0,1,51,5508,0.5506898620275945,0.1509154362595844,25181473,0.5035287542491502,0.2866943279409153,3353,8771,886,1766,1194084,2299706,127530,SSP
34960707,502,1095,1,10,6067,0.5540639269406393,0.2866901586293097,6,9966,5375634,0.4926003205418972,0.2906416688433683,19,223.0,1,6,1543,0.3849800399201596,0.2093145347363498,2560699,0.5128612932673685,0.2907750957849651,62,325,51,91,429,1403,977,SSP
34965651,1002,2090,1,9993,10466256,0.5011285890554009,0.2893144257759747,1,10,11511,0.5507655502392345,0.289103361526202,26342,316.0,1,11,2614446,0.2859150701515234,0.1902832275902442,5436,0.5430569430569431,0.2881167029516442,565,3637,10312,6587,64270,212090,19325,Network Simplex
34967721,502,1040,31,9993,5279506,0.5080004079778923,0.2870152310449475,1,100,53307,0.5125673076923077,0.2849126811047376,29126,223.0,1,11,1361539,0.3336168321348954,0.2041800639802597,26153,0.5220159680638722,0.2815740752002237,151,1177,911,1099,20851,62916,5950,Network Simplex
34973598,2002,3920,1,9993,19451461,0.4965583306273575,0.2893778487420317,1,1000,1923229,0.4906196428571429,0.2899714807790217,374959,447.0,1,101,5373853,0.300636259727519,0.1929649426917963,986032,0.4927696151924038,0.2901630526062079,1755,7098,4803,3089,934656,1033828,115372,Network Simplex
34978942,5002,10050,1,1000,4999018,0.4974147263681592,0.2894377196810721,2,10000,50339570,0.5008912437810945,0.2892781579580237,15891,70710.0,1,51,1320844,0.2870825834833033,0.1850238816228771,25235881,0.5046166966606678,0.2903724482374777,6944,34885,140962,77242,6668460,20212239,479305,Network Simplex
34992466,5002,9950,1,2,14864,0.7469346733668342,0.2499812068388981,1,1000,5003934,0.5029079396984925,0.2867644041451098,133,707.0,1,101,5494,0.5492901419716056,0.1490488272017656,2527735,0.5054459108178364,0.2848522876134638,6025,16184,19715,14597,2373635,5430798,314514,Network Simplex
34994674,2002,4080,1,100,208218,0.5103382352941176,0.2903900914368962,1,9991,20181200,0.4950828294484644,0.287495261441796,637,447.0,1,21,54529,0.3061896018282993,0.1933912879570846,9653721,0.4835570087062312,0.2842986977720483,680,1931,147,501,56417,222691,21554,SSP
34997682,2502,5000,1,10,27293,0.54586,0.2882895426476652,6,9997,25084486,0.5018402720816245,0.2878859376265595,211,500.0,1,51,7896,0.3157137145141943,0.169898305565839,12432901,0.4975152052869805,0.2894848590568649,1868,4380,764,1062,80907,203199,46563,SSP
34998630,1002,2090,1,9996,10484346,0.5018440869170635,0.2888979078037369,1,1000,1039517,0.4973765550239235,0.2881594111678317,29288,3162.0,1,11,2609759,0.3045026685531241,0.1976516204145951,487633,0.4871458541458541,0.2860681417487293,281,2185,1975,2226,33721,114319,8870,Network Simplex
35003535,402,800,1,2,1175,0.734375,0.2495112409792392,4,997,392011,0.4914882146439318,0.2921567709873081,25,2000.0,1,21,436,0.543640897755611,0.1411237787224031,192489,0.4814668444235449,0.2877172502231966,161,1023,784,1024,19931,52909,5787,Network Simplex
35004051,1002,2030,1,9999,10128131,0.4989726066202679,0.2919150030884236,2,1000,1010875,0.4979679802955665,0.289885677244134,60966,316.0,1,21,2598982,0.3102384531468053,0.2013783521825215,500885,0.5003846153846153,0.2858686202699098,492,1819,354,1238,86626,252636,17386,SSP
35008232,52,105,1,2,163,0.7761904761904762,0.2486243329944116,30,9937,478903,0.4589897305405004,0.294364082649705,7,707.0,1,6,58,0.5686274509803921,0.1720581252429827,239699,0.4729777993516014,0.2803689753847515,16,49,15,51,188,343,236,SSP
35014759,1002,1910,1,1000,958908,0.5020460732984293,0.2897321058585142,11,9993,9626249,0.5043451358359229,0.2950159441429457,45110,316.0,1,101,281937,0.3361042298989793,0.2162680307222453,5044661,0.5050226855016914,0.2899998934921852,1002,3574,228,366,56714,60276,29918,SSP
35016418,1002,2030,1,100,101836,0.5016551724137931,0.2856271628676576,1,9990,10233686,0.5046270901443315,0.2881081096189132,723,316.0,1,21,27246,0.3402347652347652,0.2174398244409632,4932267,0.4936719427251438,0.288945107411412,356,1603,193,219,76872,195301,17322,SSP
35018228,102,215,2,100,11474,0.5336744186046511,0.2779911091877808,49,9986,1118338,0.5208864503327915,0.2823588653413695,182,10000.0,1,6,3117,0.3506975697569757,0.1868333257592337,524108,0.5226821231679977,0.2820727675867616,27,128,69,105,1956,2992,689,Network Simplex
35020005,5002,9950,1,100,499893,0.5024050251256281,0.2893724882563522,1,1000,5007845,0.5033010050251256,0.2899167046362293,3596,707.0,1,101,135124,0.2936890882693027,0.1863111533885078,2526870,0.5052729454109178,0.2908298899372735,6440,21718,32006,21672,4758954,9939952,541346,Network Simplex
35021919,5002,9950,1,100,499728,0.5022391959798995,0.288106574138226,1,9998,49192861,0.4944995129679202,0.2913130582123813,3517,7071.0,1,101,135672,0.3082837977858974,0.192811805918098,24654327,0.493185216498117,0.2929439583051063,6503,21891,26174,22215,5258673,15408214,481265,Network Simplex
35026266,102,200,1,99,10345,0.5224747474747475,0.2945894050359461,2,997,96676,0.4848345035105316,0.2990005501028555,415,100.0,1,11,2893,0.3625767640055145,0.2299452591946944,49495,0.4970076115116583,0.3049811158234138,37,183,35,29,858,1596,673,CAS
35026445,502,1095,1,2,1651,0.7538812785388128,0.2499698695381188,1,999,576281,0.5268108290939341,0.292695736951826,7,2236.0,1,6,543,0.5419161676646707,0.1385681013821094,265457,0.5303846760932589,0.2967530163915447,80,472,381,821,7133,41147,2020,Network Simplex
35027497,5002,9950,1,2,14959,0.7517085427135678,0.2499941616954202,3,10000,49687952,0.4993764020100502,0.2883181129467677,136,7071.0,1,101,5530,0.5528894221155769,0.1537771767398165,24721676,0.4947799550289121,0.2881469637892386,5336,12782,14373,18972,2361108,7581578,287102,Network Simplex
35031002,1002,1910,1,100,97243,0.5091256544502617,0.285867687919253,16,9986,9533403,0.4998308102547755,0.2906128635621336,4154,3162.0,1,101,29319,0.3616013616013616,0.2224475286808127,5061911,0.5063943666987929,0.2903784006055415,945,3087,1658,1306,151238,206865,41266,Network Simplex
35033768,1002,2030,1,1000,1006133,0.4956320197044335,0.2866472696561743,1,1000,1042549,0.5135709359605911,0.287799691977041,6682,3162.0,1,21,263616,0.3227360874419698,0.207133715966829,515142,0.5146273726273727,0.2923301986879307,623,4640,7101,6098,125239,307628,33993,Network Simplex
35035126,1002,2090,3,9999,10487468,0.5018429115638837,0.2952357232043309,5,9980,10355009,0.4964478718201954,0.2916236770693712,27294,316.0,1,11,2561935,0.3050870931428804,0.2069985914036817,4949419,0.4958357927672007,0.2872901308045981,190,1205,87,133,11336,62572,6849,SSP
35037642,202,410,17,9998,2058642,0.5022082465273543,0.2912929156060775,1,100,20010,0.4880487804878048,0.2837554728144839,35395,141.0,1,11,535784,0.3369049595299538,0.2232008512532441,9720,0.4835820895522388,0.2896405466200822,60,463,287,533,4317,11605,2421,Network Simplex
35042656,10002,20000,1,100,1013950,0.506975,0.2877060641957343,1,10000,100017264,0.50008632,0.2882074458386833,3638,10000.0,1,101,276599,0.2911277293323299,0.1831149585305998,50213902,0.5020888111188881,0.2869532872418271,15892,51225,100294,65424,16128326,28498133,1369432,Network Simplex
35043111,1002,1970,1,100,99167,0.5033857868020304,0.2894248776418243,15,9993,9785387,0.4970680999542319,0.2901205656102934,1814,3162.0,1,51,27753,0.3261797026502909,0.2112447995338479,5082217,0.5080696347583169,0.2903028860347472,775,2362,1572,1755,119603,247953,30758,Network Simplex
35046934,5002,10050,1,9997,50163039,0.499284501768441,0.2926944431042284,1,9999,50225293,0.4998041396179419,0.2896323701036608,155656,7071.0,1,51,13166709,0.2920482791960743,0.1906518466543723,24880134,0.497552934657593,0.2891550021079367,4180,18520,14441,17813,4181898,12623842,347303,Network Simplex
